priority_rank,ebird_species_code,scientific_name,japanese_name,frequency_annual_mean,total_recordings
338,gybthr1,Turdus hortulorum,カラアカハラ,0.0004338979166666,181
339,snobun,Plectrophenax nivalis,ユキホオジロ,0.0004275874999999,580
340,caster1,Hydroprogne caspia,オニアジサシ,0.0004119479166666,590
341,swisni1,Gallinago megala,チュウジシギ,0.0004082458333333,126
342,whwter,Chlidonias leucopterus,ハジロクロハラアジサシ,0.0004069687499999,156
343,rettro,Phaethon rubricauda,アカオネッタイチョウ,0.0003962416666666,155
344,grfhaw1,Accipiter soloensis,アカハラダカ,0.000394575,63
345,y00478,Larus glaucoides,アイスランドカモメ,0.0003929645833333,128
346,laplon,Calcarius lapponicus,ツメナガホオジロ,0.0003842416666666,604
347,recpoc,Netta rufina,アカハシハジロ,0.0003802020833333,133
348,palbun,Emberiza pallasi,シベリアジュリン,0.0003747604166666,112
349,faipit1,Pitta nympha,ヤイロチョウ,0.0003698958333333,319
350,orsowl,Otus sunia,コノハズク,0.0003594208333333,314
351,sllcra1,Rallina eurizonoides,オオクイナ,0.0003544833333333,322
352,demcra1,Anthropoides virgo,アネハヅル,0.0003540208333333,91
353,arcwar1,Phylloscopus borealis,コムシクイ,0.0003527208333333,666
354,chemun,Lonchura atricapilla,キンパラ,0.0003380020833333,149
355,taifly1,Ficedula albicilla,オジロビタキ,0.0003276958333333,225
356,yebloo,Gavia adamsii,ハシジロアビ,0.0003200124999999,50
357,rutrob1,Larvivora sibilans,シマゴマ,0.0003199645833333,169
358,tigshr1,Lanius tigrinus,チゴモズ,0.0003143062499999,64
359,korfly1,Ficedula zanthopygia,マミジロキビタキ,0.0003129166666666,192
360,buffle,Bucephala albeola,ヒメハジロ,0.0003038020833333,294
361,phtjac1,Hydrophasianus chirurgus,レンカク,0.0002984749999999,266
362,yebbun,Emberiza aureola,シマアオジ,0.0002867041666666,115
363,canvas,Aythya valisineria,オオホシハジロ,0.0002829020833333,72
364,sibacc,Prunella montanella,ヤマヒバリ,0.0002772770833333,52
365,yebtit4,Pardaliparus venustulus,キバラガラ,0.0002726770833333,150
366,rudshe,Tadorna ferruginea,アカツクシガモ,0.0002701729166666,290
367,gubter2,Gelochelidon nilotica,ハシブトアジサシ,0.0002681395833333,307
368,radwar1,Phylloscopus schwarzi,カラフトムジセッカ,0.0002635645833333,199
369,palwar5,Phylloscopus proregulus,カラフトムシクイ,0.0002630875,385
370,norshr4,Lanius borealis,オオモズ,0.0002596958333333,138
371,wispet,Oceanites oceanicus,アシナガウミツバメ,0.0002580708333333,52
372,comros,Carpodacus erythrinus,アカマシコ,0.00025608125,1876
373,recdov1,Streptopelia tranquebarica,ベニバト,0.0002559375,278
374,briter1,Onychoprion anaethetus,マミジロアジサシ,0.0002241541666666,124
375,gstlar1,Calandrella brachydactyla,ヒメコウテンシ,0.0002160708333333,404
376,forwag1,Dendronanthus indicus,イワミセキレイ,0.0002155020833333,241
377,pitsni,Gallinago stenura,ハリオシギ,0.0002089791666666,189
378,eucdov,Streptopelia decaocto,シラコバト,0.0002015041666666,3083
379,citwag,Motacilla citreola,キガシラセキレイ,0.0001944729166666,445
380,lessca,Aythya affinis,コスズガモ,0.0001939875,99
381,budger,Melopsittacus undulatus,セキセイインコ,0.0001896916666666,145
382,greyel,Tringa melanoleuca,オオキアシシギ,0.0001894791666666,836
383,blnori1,Oriolus chinensis,コウライウグイス,0.0001856770833333,276
384,comchi1,Phylloscopus collybita,チフチャフ,0.0001742020833333,17878
385,wantat1,Tringa incana,メリケンキアシシギ,0.0001714875,182
386,leswhi4,Curruca curruca,コノドジロムシクイ,0.0001698895833333,16476
387,deswhe1,Oenanthe deserti,サバクヒタキ,0.00016689375,163
388,wessan,Calidris mauri,ヒメハマシギ,0.0001654979166666,502
389,rocsan,Calidris ptilocnemis,チシマシギ,0.0001614083333333,98
390,savspa,Passerculus sandwichensis,サバンナシトド,0.0001572541666666,1119
391,grefri,Fregata minor,オオグンカンドリ,0.0001561333333333,69
392,comrav,Corvus corax,ワタリガラス,0.000150925,9770
393,aleter1,Onychoprion aleuticus,コシジロアジサシ,0.00014605625,94
394,chibla1,Turdus mandarinus,クロウタドリ,0.0001427937499999,255
395,norwhe,Oenanthe oenanthe,ハシグロヒタキ,0.0001425604166666,758
396,baicra1,Zapornia pusilla,ヒメクイナ,0.0001410083333333,410
397,gocspa,Zonotrichia atricapilla,キガシラシトド,0.0001375083333333,470
398,horlar,Eremophila alpestris,ハマヒバリ,0.0001362458333333,773
399,lotshr1,Lanius schach,タカサゴモズ,0.0001324145833333,1324
400,pecpip,Anthus gustavi,セジロタヒバリ,0.0001284729166666,86
401,bladro1,Dicrurus macrocercus,オウチュウ,0.00012769375,329
402,fieldf,Turdus pilaris,ノハラツグミ,0.0001239979166666,2705
403,gragoo,Anser anser,ハイイロガン,0.00012268125,2063
404,trepip,Anthus trivialis,ヨーロッパビンズイ,0.0001160479166666,3609
405,amufal1,Falco amurensis,アカアシチョウゲンボウ,0.0001144166666666,83
406,whrmun,Lonchura striata,コシジロキンパラ,0.0001138875,431
407,asikoe2,Eudynamys scolopaceus,オニカッコウ,0.0001135604166666,1562
408,grseag1,Clanga clanga,カラフトワシ,0.0001118166666666,91
409,whinch1,Saxicola rubetra,マミジロノビタキ,0.0001103333333333,956
410,sursco,Melanitta perspicillata,アラナミキンクロ,0.0001097083333333,112
411,whttro,Phaethon lepturus,シラオネッタイチョウ,0.0001030854166666,90
412,redwin,Turdus iliacus,ワキアカツグミ,9.372083333333336e-05,3921
413,gbhgul2,Ichthyaetus ichthyaetus,オオズグロカモメ,9.3425e-05,88
414,cfweye1,Zosterops erythropleurus,チョウセンメジロ,9.12125e-05,159
415,whwcro,Loxia leucoptera,ナキイスカ,8.857083333333334e-05,613
416,waterc1,Gallicrex cinerea,ツルクイナ,8.680416666666668e-05,357
417,gloibi,Plegadis falcinellus,ブロンズトキ,8.513333333333332e-05,215
418,manbuw1,Horornis canturians,チョウセンウグイス,8.235833333333335e-05,215
419,colkin1,Todiramphus chloris,ナンヨウショウビン,7.958125e-05,282
420,blueth,Luscinia svecica,オガワコマドリ,7.880625e-05,2122
421,jacsni,Lymnocryptes minimus,コシギ,7.646250000000001e-05,136
422,lesyel,Tringa flavipes,コキアシシギ,7.435833333333334e-05,427
423,sonthr1,Turdus philomelos,ウタツグミ,7.407916666666665e-05,9381
424,comyel,Geothlypis trichas,カオグロアメリカムシクイ,7.398125e-05,4383
425,blhbun1,Emberiza melanocephala,ズグロチャキンチョウ,7.318541666666668e-05,227
426,woowar,Phylloscopus sibilatrix,モリムシクイ,7.123333333333333e-05,2992
427,blrwar1,Acrocephalus dumetorum,ヤブヨシキリ,6.970833333333334e-05,3576
428,blabit1,Ixobrychus flavicollis,タカサゴクロサギ,6.958125e-05,71
429,whrsan,Calidris fuscicollis,コシジロウズラシギ,6.385208333333333e-05,385
430,laugul,Leucophaeus atricilla,ワライカモメ,6.346041666666667e-05,343
431,isawhe1,Oenanthe isabellina,イナバヒタキ,6.25e-05,193
432,brtcur,Numenius tahitiensis,ハリモモチュウシャク,6.25e-05,150
433,pllwar1,Phylloscopus tenellipes,アムールムシクイ,5.626041666666666e-05,289
434,eurrob1,Erithacus rubecula,ヨーロッパコマドリ,5.439375e-05,17999
435,ashdro1,Dicrurus leucophaeus,ハイイロオウチュウ,5.424791666666667e-05,238
436,blypip1,Anthus godlewskii,コマミジロタヒバリ,5.377708333333333e-05,256
437,pagwar1,Locustella certhiola,シベリアセンニュウ,5.337708333333334e-05,243
438,blknod,Anous minutus,ヒメクロアジサシ,5.271250000000001e-05,105
439,wlwwar,Phylloscopus trochilus,キタヤナギムシクイ,5.21125e-05,7794
440,rehbun1,Emberiza bruniceps,チャキンチョウ,5.08125e-05,181
441,lstlar2,Alaudala cheleensis,コヒバリ,5.0641666666666667e-05,119
442,boowar1,Iduna caligata,ヒメウタイムシクイ,5.034375e-05,320
443,eugplo,Pluvialis apricaria,ヨーロッパムナグロ,4.959166666666667e-05,1455
