recording_id,ebird_species_code,method,n_segments,total_duration_sec,mean_segment_sec,visualization_path
xc:747403,barswa,14,2,0.139,0.069,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_747403_comparison.png
xc:1042324,barswa,1,27,3.199,0.118,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_1042324_comparison.png
xc:1042324,barswa,2,51,5.364,0.105,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_1042324_comparison.png
xc:1042324,barswa,3,22,20.59,0.936,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_1042324_comparison.png
xc:1042324,barswa,6,47,4.447,0.095,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_1042324_comparison.png
xc:1042324,barswa,8,58,7.825,0.135,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_1042324_comparison.png
xc:1042324,barswa,12,38,7.459,0.196,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_1042324_comparison.png
xc:1042324,barswa,14,13,3.634,0.28,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_1042324_comparison.png
xc:677842,barswa,1,67,10.17,0.152,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_677842_comparison.png
xc:677842,barswa,2,83,10.275,0.124,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_677842_comparison.png
xc:677842,barswa,3,23,21.403,0.931,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_677842_comparison.png
xc:677842,barswa,6,70,10.791,0.154,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_677842_comparison.png
xc:677842,barswa,8,61,12.992,0.213,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_677842_comparison.png
xc:677842,barswa,12,33,4.905,0.149,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_677842_comparison.png
xc:677842,barswa,14,1,0.116,0.116,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_677842_comparison.png
xc:142731,barswa,1,108,35.503,0.329,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_142731_comparison.png
xc:142731,barswa,2,92,39.361,0.428,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_142731_comparison.png
xc:142731,barswa,3,49,40.975,0.836,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results_v2/barswa/xc_142731_comparison.png
