species_code,recording_id,n_notes,n_bouts,mean_bout_dur,median_bout_dur,total_bout_dur,audio_dur
comsan,xc:671980,38,14,2.064,2.215,28.9,40.03
comsan,xc:894340,8,3,1.08,0.84,3.24,4.25
comsan,xc:742036,2,1,0.48,0.48,0.48,3.16
comsan,xc:434109,1,1,0.52,0.52,0.52,2.59
comsan,xc:1042071,27,12,0.501,0.13,6.01,24.88
comsan,xc:649693,4,3,0.393,0.1,1.18,7.14
comsan,xc:995987,3,1,1.76,1.76,1.76,1.8
comsan,xc:882521,12,1,3.29,3.29,3.29,3.56
comsan,xc:839052,34,13,3.418,2.97,44.43,46.55
comsan,xc:580687,60,25,1.28,0.27,32.0,59.8
comsan,xc:900380,4,2,1.0,1.0,2.0,6.24
comsan,xc:686345,16,4,1.068,1.045,4.27,8.57
comsan,xc:668902,2,2,0.555,0.555,1.11,19.94
comsan,xc:1051594,18,11,0.755,0.61,8.31,23.88
comsan,xc:503479,56,18,1.864,1.605,33.56,54.61
comsan,xc:938711,13,9,0.448,0.22,4.03,29.73
comsan,xc:798178,21,9,4.282,4.56,38.54,39.83
daured1,xc:113350,59,15,2.089,1.7,31.34,39.05
daured1,xc:790686,66,13,2.09,1.61,27.17,35.07
daured1,xc:977650,76,39,0.291,0.21,11.35,48.08
daured1,xc:835735,19,3,6.387,6.49,19.16,20.16
daured1,xc:194873,1,5,7.628,8.0,38.14,38.18
daured1,xc:61977,1,2,7.445,7.445,14.89,14.93
daured1,xc:918844,22,16,3.625,2.32,58.0,66.13
daured1,xc:423316,26,15,0.835,0.66,12.53,29.91
daured1,xc:760656,78,19,2.972,2.09,56.47,63.28
daured1,xc:877986,38,6,3.817,4.19,22.9,24.4
daured1,xc:457952,128,66,1.077,0.16,71.1,158.97
daured1,xc:877985,47,15,3.937,3.25,59.05,62.39
daured1,xc:999956,207,57,3.924,3.87,223.68,238.51
daured1,xc:1052253,70,19,1.369,0.4,26.02,41.09
daured1,xc:438628,50,45,0.242,0.2,10.91,84.12
daured1,xc:438266,12,3,2.883,1.36,8.65,9.74
daured1,xc:807179,50,9,3.102,2.85,27.92,31.94
daured1,xc:760658,46,30,0.469,0.3,14.08,38.01
daured1,xc:481491,18,8,0.7,0.645,5.6,21.63
daured1,xc:718401,27,10,3.15,2.845,31.5,36.37
dusthr2,xc:811955,13,6,1.423,0.895,8.54,17.62
dusthr2,xc:979887,26,12,0.692,0.215,8.3,21.72
dusthr2,xc:696346,12,6,0.58,0.45,3.48,10.85
dusthr2,xc:893034,114,33,1.722,0.81,56.81,83.68
dusthr2,xc:708761,55,29,0.598,0.38,17.33,50.48
dusthr2,xc:708724,20,10,0.791,0.685,7.91,15.22
dusthr2,xc:438228,41,23,0.507,0.34,11.67,37.44
dusthr2,xc:675170,36,6,2.27,0.4,13.62,15.81
dusthr2,xc:676013,17,3,2.457,3.31,7.37,8.68
dusthr2,xc:542133,17,5,1.504,1.87,7.52,14.07
dusthr2,xc:393463,117,18,2.857,2.11,51.43,59.94
dusthr2,xc:268111,38,7,3.161,3.1,22.13,24.14
dusthr2,xc:675303,9,2,5.135,5.135,10.27,10.66
dusthr2,xc:675617,101,14,3.774,3.44,52.83,54.97
dusthr2,xc:674779,9,2,4.935,4.935,9.87,10.11
dusthr2,xc:115098,101,48,0.514,0.39,24.65,75.92
dusthr2,xc:727839,3,2,0.41,0.41,0.82,5.01
dusthr2,xc:790461,37,16,1.654,0.705,26.46,38.07
dusthr2,xc:985927,19,8,0.916,1.105,7.33,13.54
dusthr2,xc:675169,44,16,0.841,0.56,13.45,26.73
eurcoo,xc:357835,52,19,2.242,2.18,42.6,55.64
eurcoo,xc:631503,5,4,0.272,0.255,1.09,27.6
eurcoo,xc:902431,89,23,1.45,0.43,33.36,46.29
eurcoo,xc:825928,19,12,0.408,0.07,4.9,61.46
eurcoo,xc:551713,2,2,0.055,0.055,0.11,7.18
eurcoo,xc:761470,108,21,3.561,3.57,74.78,85.42
eurcoo,xc:1031905,38,10,1.233,0.145,12.33,21.85
eurcoo,xc:552993,1,2,4.935,4.935,9.87,9.91
eurcoo,xc:381908,24,3,5.507,6.7,16.52,17.43
eurcoo,xc:624808,36,24,0.429,0.09,10.3,75.94
eurcoo,xc:783012,8,8,0.129,0.115,1.03,14.14
eurcoo,xc:424005,107,20,2.568,1.005,51.37,60.92
eurcoo,xc:470565,19,15,0.597,0.17,8.96,41.43
eurcoo,xc:785980,1,2,7.4,7.4,14.8,14.84
eurcoo,xc:537911,3,2,0.41,0.41,0.82,3.44
eurcoo,xc:629958,4,3,0.36,0.15,1.08,8.61
eurcoo,xc:103222,33,27,0.172,0.12,4.64,40.28
eurcoo,xc:538451,5,3,0.313,0.38,0.94,2.99
eurcoo,xc:528641,17,13,0.18,0.08,2.34,11.09
eurcoo,xc:651221,42,5,3.754,3.36,18.77,19.97
eurwig,xc:706792,22,4,2.368,2.005,9.47,11.94
eurwig,xc:702702,13,5,0.644,0.47,3.22,10.53
eurwig,xc:894419,14,12,0.119,0.08,1.43,18.99
eurwig,xc:706795,12,5,0.736,0.09,3.68,22.67
eurwig,xc:1051756,30,11,0.945,0.58,10.39,22.05
eurwig,xc:674817,15,6,0.863,0.175,5.18,10.38
eurwig,xc:615242,4,1,2.0,2.0,2.0,2.04
eurwig,xc:262182,2,2,0.46,0.46,0.92,2.49
eurwig,xc:113187,177,46,3.485,3.0,160.33,172.52
eurwig,xc:978866,6,5,0.21,0.16,1.05,7.34
eurwig,xc:266803,230,105,0.572,0.29,60.09,191.77
eurwig,xc:994831,1,3,6.837,8.0,20.51,20.55
eurwig,xc:684919,67,22,0.929,0.33,20.43,36.75
eurwig,xc:805037,17,10,0.844,0.515,8.44,22.89
eurwig,xc:558063,4,3,0.09,0.06,0.27,3.43
eurwig,xc:613690,15,8,0.4,0.075,3.2,9.08
