species_code,recording_id,n_notes,n_bouts,mean_bout_dur,median_bout_dur,total_bout_dur,audio_dur
brebul1,xc:245971,1,5,7.402,8.0,37.01,37.05
brebul1,xc:915184,12,7,2.691,0.36,18.84,23.7
brebul1,xc:551617,6,1,3.65,3.65,3.65,3.86
brebul1,xc:285857,19,6,2.208,1.035,13.25,16.78
brebul1,xc:834175,68,42,1.072,0.85,45.03,94.2
brebul1,xc:578805,44,21,1.116,0.3,23.44,40.01
brebul1,xc:551615,72,12,2.918,2.81,35.02,43.97
brebul1,xc:102459,32,11,1.491,0.65,16.4,21.8
brebul1,xc:551620,16,6,1.905,1.47,11.43,16.76
brebul1,xc:206723,29,5,4.792,5.59,23.96,25.67
brebul1,xc:915185,28,6,2.848,3.08,17.09,19.82
brebul1,xc:401344,26,17,0.643,0.32,10.93,34.28
buhshr1,xc:194695,1,1,7.74,7.74,7.74,7.78
buhshr1,xc:88961,11,4,1.21,1.075,4.84,7.1
buhshr1,xc:793926,14,12,1.63,1.4,19.56,34.88
buhshr1,xc:842854,26,14,2.468,1.625,34.55,42.2
buhshr1,xc:505447,7,2,3.21,3.21,6.42,8.02
buhshr1,xc:635573,17,6,1.018,0.485,6.11,9.67
buhshr1,xc:661928,13,10,2.431,2.215,24.31,43.68
buhshr1,xc:609435,3,5,3.31,0.45,16.55,16.95
buhshr1,xc:793918,45,22,0.882,0.58,19.41,70.46
buhshr1,xc:841025,46,23,0.413,0.21,9.49,23.55
buhshr1,xc:794803,20,9,2.953,1.25,26.58,36.35
buhshr1,xc:194870,1,2,5.275,5.275,10.55,10.59
buhshr1,xc:794952,12,4,6.038,7.275,24.15,28.49
buhshr1,xc:954180,49,10,1.571,0.71,15.71,20.25
buhshr1,xc:793925,18,10,1.937,2.63,19.37,30.93
buhshr1,xc:194693,25,7,1.784,0.35,12.49,16.11
buhshr1,xc:260142,42,11,4.129,3.5,45.42,49.56
buhshr1,xc:1052423,48,27,0.366,0.12,9.88,24.68
buhshr1,xc:782307,6,2,3.455,3.455,6.91,10.92
buhshr1,xc:762423,31,16,1.681,1.62,26.9,40.02
burthr,xc:134325,64,26,5.185,6.89,134.8,137.33
burthr,xc:1023727,104,21,2.813,3.41,59.07,83.75
burthr,xc:697948,17,3,3.43,3.9,10.29,13.51
burthr,xc:921485,7,3,0.993,1.2,2.98,5.52
burthr,xc:472199,174,24,3.027,2.37,72.65,83.49
burthr,xc:310120,115,26,3.825,2.885,99.44,111.01
burthr,xc:1063823,104,20,1.561,1.965,31.22,57.27
burthr,xc:916327,277,70,1.785,1.115,124.97,171.39
burthr,xc:473669,17,12,0.756,0.465,9.07,43.08
burthr,xc:480601,60,18,1.427,0.995,25.68,41.12
burthr,xc:411661,45,13,1.31,1.01,17.03,31.83
burthr,xc:721760,6,5,0.828,0.92,4.14,19.11
burthr,xc:743862,99,30,1.15,0.435,34.49,92.31
burthr,xc:134330,111,55,0.972,0.14,53.45,97.49
burthr,xc:285868,11,3,2.43,0.87,7.29,11.39
burthr,xc:987385,19,11,0.716,0.31,7.88,15.89
burthr,xc:474444,38,19,2.013,1.79,38.24,59.0
burthr,xc:972364,28,22,0.398,0.46,8.75,35.82
burthr,xc:417711,138,44,3.155,2.845,138.82,165.71
burthr,xc:148436,46,6,4.302,4.035,25.81,29.08
carcro1,xc:785592,22,4,4.342,4.965,17.37,18.91
carcro1,xc:511980,29,5,3.322,2.89,16.61,18.37
carcro1,xc:688118,26,9,2.45,1.87,22.05,31.09
carcro1,xc:745101,246,87,1.149,0.41,99.97,205.56
carcro1,xc:635134,2,1,3.42,3.42,3.42,3.46
carcro1,xc:556994,54,33,0.624,0.56,20.59,54.01
carcro1,xc:411472,11,6,0.968,0.22,5.81,11.81
carcro1,xc:576943,23,10,0.947,0.61,9.47,26.03
carcro1,xc:678776,10,4,0.802,0.215,3.21,5.39
carcro1,xc:578870,4,2,0.91,0.91,1.82,3.51
carcro1,xc:936225,15,8,0.68,0.475,5.44,16.47
carcro1,xc:482395,62,6,3.507,3.82,21.04,22.82
carcro1,xc:536578,8,1,4.18,4.18,4.18,7.21
carcro1,xc:509842,4,1,2.8,2.8,2.8,3.51
carcro1,xc:1010253,3,1,1.75,1.75,1.75,1.94
carcro1,xc:879243,8,1,5.66,5.66,5.66,5.75
carcro1,xc:1079008,6,6,0.768,0.89,4.61,40.6
carcro1,xc:490186,17,13,2.166,1.5,28.16,35.74
carcro1,xc:138017,40,26,3.798,3.59,98.74,105.25
carcro1,xc:758902,19,10,0.897,0.18,8.97,16.56
cintit13,xc:1030710,26,10,2.192,1.555,21.92,24.27
cintit13,xc:582929,85,33,1.872,1.16,61.76,87.01
cintit13,xc:531958,26,11,1.366,1.24,15.03,24.1
cintit13,xc:319792,27,15,0.813,0.97,12.19,31.74
cintit13,xc:166690,17,3,4.637,4.58,13.91,14.41
cintit13,xc:461986,3,1,5.31,5.31,5.31,5.35
cintit13,xc:78429,47,15,1.328,1.03,19.92,36.97
cintit13,xc:781803,48,11,1.628,0.86,17.91,23.05
cintit13,xc:319962,34,10,2.121,1.78,21.21,31.46
cintit13,xc:889843,237,79,0.943,0.55,74.48,128.65
cintit13,xc:403411,26,3,6.583,6.46,19.75,21.15
cintit13,xc:625317,8,5,2.484,2.63,12.42,26.69
cintit13,xc:207133,63,11,3.147,2.18,34.62,38.46
cintit13,xc:241629,34,19,0.865,0.2,16.44,33.95
cintit13,xc:659309,10,3,1.26,1.16,3.78,6.64
cintit13,xc:400301,28,8,1.335,0.74,10.68,15.82
cintit13,xc:999814,18,7,3.316,3.75,23.21,25.71
cintit13,xc:625316,41,13,3.086,3.08,40.12,49.65
cintit13,xc:777400,61,27,2.006,0.54,54.17,72.12
cintit13,xc:105150,17,3,4.687,4.28,14.06,15.44
comkin1,xc:462875,40,19,0.834,0.32,15.85,25.94
comkin1,xc:502269,39,12,0.973,0.465,11.67,22.52
comkin1,xc:931189,9,2,3.215,3.215,6.43,7.23
comkin1,xc:800955,39,12,1.724,0.44,20.69,32.25
comkin1,xc:929047,13,2,4.1,4.1,8.2,8.46
comkin1,xc:282763,7,5,0.396,0.14,1.98,8.02
comkin1,xc:185682,21,7,2.493,2.85,17.45,19.26
comkin1,xc:466431,23,11,0.684,0.38,7.52,18.32
comkin1,xc:757948,2,2,0.585,0.585,1.17,7.99
comkin1,xc:587605,47,5,4.68,5.95,23.4,25.13
comkin1,xc:929192,15,8,0.685,0.74,5.48,11.24
comkin1,xc:544658,15,3,4.437,3.71,13.31,13.95
comkin1,xc:580132,5,4,0.312,0.24,1.25,5.1
comkin1,xc:928954,37,8,3.31,4.09,26.48,29.91
comkin1,xc:502961,9,5,0.458,0.5,2.29,9.14
comkin1,xc:118166,27,6,1.732,0.56,10.39,14.22
comkin1,xc:598243,10,1,6.95,6.95,6.95,7.06
comkin1,xc:580507,3,3,0.183,0.23,0.55,15.59
comkin1,xc:288219,70,13,2.928,2.21,38.07,43.01
comkin1,xc:529947,9,3,1.963,1.83,5.89,19.58
compoc,xc:797798,21,10,1.818,0.195,18.18,25.09
compoc,xc:570725,4,4,0.192,0.2,0.77,9.58
compoc,xc:484893,17,3,4.457,4.75,13.37,13.82
compoc,xc:783964,65,9,4.364,4.56,39.28,42.76
compoc,xc:994657,34,9,4.1,3.92,36.9,38.84
compoc,xc:609398,12,40,6.735,8.0,269.38,271.16
compoc,xc:138166,4,1,5.63,5.63,5.63,5.67
compoc,xc:591953,2,1,2.19,2.19,2.19,2.23
compoc,xc:769844,34,12,1.532,1.165,18.38,24.54
compoc,xc:368567,8,3,1.397,0.6,4.19,5.83
compoc,xc:414488,25,6,1.672,1.11,10.03,13.25
compoc,xc:994669,2,1,7.8,7.8,7.8,7.84
compoc,xc:989599,21,9,3.05,1.82,27.45,29.29
compoc,xc:750149,8,4,0.935,0.175,3.74,7.65
compoc,xc:747381,16,3,3.953,3.92,11.86,12.85
compoc,xc:989573,3,1,6.28,6.28,6.28,6.32
compoc,xc:989980,9,1,4.66,4.66,4.66,5.18
compoc,xc:299728,96,23,1.899,0.6,43.68,64.94
compoc,xc:270396,8,8,3.19,1.875,25.52,26.13
compoc,xc:994666,1,5,7.298,8.0,36.49,36.8
comsan,xc:932836,0,0,0.0,0.0,0.0,3.1
comsan,xc:599571,7,2,3.14,3.14,6.28,7.01
comsan,xc:743065,20,14,0.532,0.46,7.45,21.22
