recording_id,ebird_species_code,method,n_segments,total_duration_sec,mean_segment_sec,visualization_path
ml:634320120,bkfbun2,5,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_634320120_comparison.png
ml:637612944,bkfbun2,1,21,1.424,0.068,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_637612944_comparison.png
ml:637612944,bkfbun2,2,75,9.445,0.126,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_637612944_comparison.png
ml:637612944,bkfbun2,3,18,20.696,1.15,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_637612944_comparison.png
ml:637612944,bkfbun2,4,16,0.763,0.048,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_637612944_comparison.png
ml:637612944,bkfbun2,5,1,23.288,23.288,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_637612944_comparison.png
ml:624172439,bkfbun2,1,1,0.517,0.517,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_624172439_comparison.png
ml:624172439,bkfbun2,2,99,5.509,0.056,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_624172439_comparison.png
ml:624172439,bkfbun2,3,40,39.346,0.984,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_624172439_comparison.png
ml:624172439,bkfbun2,4,1,0.203,0.203,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_624172439_comparison.png
ml:624172439,bkfbun2,5,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkfbun2/ml_624172439_comparison.png
xc:580794,bkhgul,1,154,59.008,0.383,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_580794_comparison.png
xc:580794,bkhgul,2,269,39.735,0.148,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_580794_comparison.png
xc:580794,bkhgul,3,159,101.172,0.636,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_580794_comparison.png
xc:580794,bkhgul,4,138,32.131,0.233,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_580794_comparison.png
xc:580794,bkhgul,5,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_580794_comparison.png
xc:752720,bkhgul,1,137,24.715,0.18,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_752720_comparison.png
xc:752720,bkhgul,2,160,17.208,0.108,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_752720_comparison.png
xc:752720,bkhgul,3,41,44.08,1.075,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_752720_comparison.png
xc:752720,bkhgul,4,114,11.349,0.1,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_752720_comparison.png
xc:752720,bkhgul,5,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_752720_comparison.png
xc:1065402,bkhgul,1,21,6.298,0.3,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_1065402_comparison.png
xc:1065402,bkhgul,2,23,4.139,0.18,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_1065402_comparison.png
xc:1065402,bkhgul,3,13,8.673,0.667,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_1065402_comparison.png
xc:1065402,bkhgul,4,20,3.843,0.192,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_1065402_comparison.png
xc:1065402,bkhgul,5,1,10.661,10.661,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_1065402_comparison.png
xc:1050112,bkhgul,1,4,0.331,0.083,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_1050112_comparison.png
xc:1050112,bkhgul,2,17,1.808,0.106,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_1050112_comparison.png
xc:1050112,bkhgul,3,11,7.454,0.678,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_1050112_comparison.png
xc:1050112,bkhgul,4,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_1050112_comparison.png
xc:1050112,bkhgul,5,1,9.262,9.262,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_1050112_comparison.png
xc:525320,bkhgul,1,8,8.603,1.075,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_525320_comparison.png
xc:525320,bkhgul,2,26,4.069,0.157,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_525320_comparison.png
xc:525320,bkhgul,3,25,9.294,0.372,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_525320_comparison.png
xc:525320,bkhgul,4,8,6.513,0.814,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_525320_comparison.png
xc:525320,bkhgul,5,1,17.049,17.049,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bkhgul/xc_525320_comparison.png
xc:627390,bktgul,1,45,11.685,0.26,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_627390_comparison.png
xc:627390,bktgul,2,114,17.157,0.151,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_627390_comparison.png
xc:627390,bktgul,3,77,41.12,0.534,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_627390_comparison.png
xc:627390,bktgul,4,31,4.208,0.136,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_627390_comparison.png
xc:627390,bktgul,5,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_627390_comparison.png
xc:903942,bktgul,1,7,3.376,0.482,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_903942_comparison.png
xc:903942,bktgul,2,8,1.744,0.218,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_903942_comparison.png
xc:903942,bktgul,3,10,2.392,0.239,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_903942_comparison.png
xc:903942,bktgul,4,7,2.368,0.338,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_903942_comparison.png
xc:903942,bktgul,5,1,5.704,5.704,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_903942_comparison.png
xc:1016634,bktgul,1,42,12.832,0.306,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_1016634_comparison.png
xc:1016634,bktgul,2,53,17.464,0.33,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_1016634_comparison.png
xc:1016634,bktgul,3,35,21.304,0.609,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_1016634_comparison.png
xc:1016634,bktgul,4,34,5.867,0.173,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_1016634_comparison.png
xc:1016634,bktgul,5,1,27.299,27.299,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_1016634_comparison.png
xc:344933,bktgul,1,17,5.875,0.346,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_344933_comparison.png
xc:344933,bktgul,2,23,6.548,0.285,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_344933_comparison.png
xc:344933,bktgul,3,22,35.262,1.603,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_344933_comparison.png
xc:344933,bktgul,4,17,3.953,0.233,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_344933_comparison.png
xc:344933,bktgul,5,0,0.0,0.0,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_344933_comparison.png
xc:344932,bktgul,1,5,2.177,0.435,/home/okamoto/NAS/nasbi/ToriNET/segments/test_samples_results/bktgul/xc_344932_comparison.png
