









Frequency of observations in the selected location(s).:
Number of taxa: 	873

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
コクチョウ (<em class="sci">Cygnus atratus</em>)	3.762E-4	1.343E-4	4.035E-4	2.878E-4	3.823E-4	8.123E-4	0.0	0.0015	4.91E-4	5.246E-4	0.0015	3.86E-4	1.626E-4	1.536E-4	2.805E-4	2.392E-4	0.0	1.377E-4	2.917E-4	1.126E-4	0.0015	7.564E-4	4.115E-4	3.669E-4	2.416E-4	5.373E-4	5.533E-4	2.027E-4	8.731E-4	8.406E-4	0.0015	1.901E-4	0.0	0.0015	2.373E-4	1.634E-4	2.053E-4	1.613E-4	5.214E-4	0.0015	1.399E-4	3.399E-4	3.3E-4	5.154E-4	5.347E-4	0.0	3.736E-4	3.232E-4	
ナキハクチョウ (<em class="sci">Cygnus buccinator</em>)	1.254E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.178E-4	1.399E-4	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	
コハクチョウ (<em class="sci">Cygnus columbianus</em>)	0.0206922	0.0233683	0.0208473	0.0187068	0.0158022	0.0187979	0.0117079	0.0142308	0.0091653	0.0052457	0.0048535	0.0052753	0.0039031	0.0047612	0.0037863	0.0019136	0.0015421	8.262E-4	2.917E-4	0.0	3.478E-4	0.0015	0.0015	1.835E-4	2.416E-4	0.0	0.0	0.0010134	5.821E-4	2.802E-4	0.0	1.901E-4	4.757E-4	0.0	4.746E-4	0.0013072	0.0039006	0.0133914	0.0180744	0.0127253	0.0125909	0.0112169	0.0158416	0.0164927	0.0156835	0.0187856	0.0151289	0.0213316	
オオハクチョウ (<em class="sci">Cygnus cygnus</em>)	0.0299724	0.0306205	0.0365837	0.0316577	0.0328788	0.0411929	0.04449	0.051231	0.0379705	0.0204581	0.0187207	0.012738	0.0100829	0.011519	0.0116393	0.0084918	0.0030843	0.0019278	0.0024792	0.001126	0.0022605	0.0026475	0.0030864	0.0016511	0.001208	5.373E-4	0.0011065	0.0014187	0.0017462	2.802E-4	5.546E-4	0.0011405	0.0016651	0.0027541	0.0016611	0.001634	0.0026689	0.0167796	0.0154675	0.0214446	0.026441	0.0280421	0.0372937	0.0338874	0.0335056	0.0333966	0.0336197	0.0401853	
コハクチョウ／オオハクチョウ (<em class="sci">Cygnus columbianus/cygnus</em>)	3.762E-4	5.372E-4	2.69E-4	3.837E-4	3.823E-4	2.321E-4	2.927E-4	1.423E-4	6.547E-4	0.001224	1.733E-4	6.433E-4	1.626E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.227E-4	3.476E-4	8.248E-4	4.197E-4	8.498E-4	3.3E-4	3.865E-4	1.782E-4	3.795E-4	5.603E-4	1.077E-4	
ハクチョウ属 (<em class="sci">Cygnus sp.</em>)	0.0013795	0.0010744	5.38E-4	8.634E-4	8.921E-4	0.0011604	0.0019025	0.0015654	0.0011457	0.001224	0.0012134	6.433E-4	9.758E-4	7.679E-4	4.207E-4	8.372E-4	1.402E-4	0.0	1.458E-4	1.126E-4	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	2.027E-4	0.0	0.0015	2.773E-4	0.0	0.0	2.504E-4	4.746E-4	3.268E-4	2.053E-4	0.0029042	0.0026069	0.0015318	0.0025182	0.0025493	0.0018152	0.0012885	0.0012475	0.0017078	0.0011207	5.387E-4	
マガン属 ／ ハクガン属 ／ コクガン属 (<em class="sci">Anatidae (goose sp.)</em>)	0.0	5.372E-4	2.69E-4	1.919E-4	7.646E-4	9.283E-4	4.39E-4	8.538E-4	9.82E-4	6.994E-4	3.467E-4	5.147E-4	3.253E-4	0.0	0.0	2.392E-4	0.0	0.0	0.0	1.126E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013072	0.0	4.84E-4	3.476E-4	4.713E-4	1.399E-4	3.399E-4	6.601E-4	3.865E-4	5.347E-4	0.0	3.736E-4	6.464E-4	
アカツクシガモ (<em class="sci">Tadorna ferruginea</em>)	5.016E-4	2.686E-4	1.345E-4	4.797E-4	6.372E-4	4.641E-4	8.781E-4	4.269E-4	3.273E-4	6.994E-4	1.733E-4	2.573E-4	6.505E-4	1.536E-4	0.0015	2.392E-4	5.608E-4	0.0	0.0	0.0015	0.0	0.0	0.0	1.835E-4	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.564E-4	3.795E-4	3.736E-4	3.232E-4	
ツクシガモ (<em class="sci">Tadorna tadorna</em>)	0.0184349	0.0287403	0.0240753	0.019858	0.0205174	0.0184498	0.0181472	0.0126654	0.0090016	0.0068194	0.0064136	0.004632	0.0035778	0.0030717	7.012E-4	0.0031097	0.0033646	0.0017901	2.917E-4	1.126E-4	1.739E-4	0.0	0.0	0.0	2.416E-4	2.687E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.613E-4	0.0	1.178E-4	6.995E-4	3.399E-4	0.0019802	0.0018039	0.0062377	0.0074004	0.0110198	0.018746	
ノバリケン (<em class="sci">Cairina moschata</em>)	0.0010033	0.001343	8.07E-4	3.837E-4	3.823E-4	0.0010443	8.781E-4	0.0022769	0.0011457	8.743E-4	0.0013867	6.433E-4	8.131E-4	0.0015359	0.0011219	5.98E-4	4.206E-4	2.754E-4	0.0013125	4.504E-4	5.216E-4	1.891E-4	0.0015	5.504E-4	7.248E-4	8.06E-4	0.0015	6.08E-4	0.0011641	0.0011208	8.319E-4	0.0020909	0.0019029	0.0022534	0.0018984	0.0019608	0.0012318	9.681E-4	6.952E-4	5.891E-4	8.394E-4	0.0013596	0.0016502	5.154E-4	0.0010693	0.0	9.339E-4	4.309E-4	
