ebird_species_code,scientific_name,japanese_name,ebird_common_name,frequency_annual_mean,frequency_max,n_periods_detected,residence_status
japcor1,Phalacrocorax capillatus,ウミウ,Japanese Cormorant,0.022519350000000004,0.0406561,48.0,resident
reebun,Emberiza schoeniclus,オオジュリン,Reed Bunting,0.021430495833333337,0.0587515,48.0,resident
refblu1,Tarsiger cyanurus,ルリビタキ,Red-flanked Bluetail,0.02132694583333333,0.0550652,48.0,resident
norgos1,Accipiter gentilis,オオタカ,Eurasian Goshawk,0.02125793958333333,0.0417038,48.0,resident
rusbun,Emberiza rustica,カシラダカ,Rustic Bunting,0.021096360416666668,0.0589416,36.0,winter
comsni,Gallinago gallinago,タシギ,Common Snipe,0.020914139583333335,0.0431104,41.0,resident
winwre4,Troglodytes troglodytes,ミソサザイ,Eurasian Wren,0.020708808333333335,0.0431229,48.0,resident
eacwar1,Phylloscopus coronatus,センダイムシクイ,Eastern Crowned Warbler,0.020673747916666662,0.1190243,31.0,summer
veggul1,Larus vegae,セグロカモメ,Vega Gull,0.02050094166666667,0.0509399,47.0,winter
comgre,Tringa nebularia,アオアシシギ,Common Greenshank,0.02046535,0.062411,48.0,resident
stonec7,Saxicola stejnegeri,ノビタキ,Amur Stonechat,0.019872641666666673,0.0661876,47.0,summer
whteag,Haliaeetus albicilla,オジロワシ,White-tailed Eagle,0.019719912500000002,0.066031,48.0,resident
brambl,Fringilla montifringilla,アトリ,Brambling,0.01951803333333333,0.0458071,35.0,winter
rorpar,Psittacula krameri,ホンセイインコ,Rose-ringed Parakeet,0.019495216666666666,0.0279078,48.0,resident
wiltit1,Poecile montanus,コガラ,Willow Tit,0.01947848541666667,0.0319382,48.0,resident
brhthr1,Turdus chrysolaus,アカハラ,Brown-headed Thrush,0.01931962708333333,0.0614047,48.0,resident
rebmer,Mergus serrator,ウミアイサ,Red-breasted Merganser,0.019140479166666665,0.0663156,48.0,winter
dunlin,Calidris alpina,ハマシギ,Dunlin,0.0189660875,0.0422402,47.0,resident
livbul1,Pycnonotus sinensis,シロガシラ,Light-vented Bulbul,0.018836991666666667,0.0368696,48.0,resident
lotros1,Carpodacus sibiricus,ベニマシコ,Long-tailed Rosefinch,0.018405552083333335,0.0361174,48.0,resident
perfal,Falco peregrinus,ハヤブサ,Peregrine Falcon,0.01822056666666667,0.0392062,48.0,resident
eurspa1,Accipiter nisus,ハイタカ,Eurasian Sparrowhawk,0.01785335,0.0457306,48.0,resident
bawfly2,Cyanoptila cyanomelana,オオルリ,Blue-and-white Flycatcher,0.017644662499999995,0.0946306,32.0,summer
asbfly,Muscicapa dauurica,コサメビタキ,Asian Brown Flycatcher,0.01736636041666667,0.0668723,40.0,summer
lobplo1,Charadrius placidus,イカルチドリ,Long-billed Plover,0.01724380625,0.0374698,48.0,resident
kenplo1,Charadrius alexandrinus,シロチドリ,Kentish Plover,0.016845520833333332,0.0373454,48.0,resident
pacswa5,Hirundo tahitica,リュウキュウツバメ,Tahiti Swallow,0.016565274999999997,0.0265211,48.0,resident
whoswa,Cygnus cygnus,オオハクチョウ,Whooper Swan,0.016394758333333335,0.051231,48.0,winter
lescuc1,Cuculus poliocephalus,ホトトギス,Lesser Cuckoo,0.016135343750000003,0.1098714,27.0,summer
rensti,Calidris ruficollis,トウネン,Red-necked Stint,0.015903118749999997,0.0946717,48.0,summer
eargre,Podiceps nigricollis,ハジロカイツブリ,Eared Grebe,0.01570991041666667,0.0477268,44.0,winter
gyhlap1,Vanellus cinereus,ケリ,Gray-headed Lapwing,0.01568474791666667,0.0260734,48.0,resident
manduc,Aix galericulata,オシドリ,Mandarin Duck,0.015442041666666668,0.0261886,48.0,resident
y00621,Cecropis daurica,コシアカツバメ,Eastern Red-rumped Swallow,0.015312425,0.0405608,40.0,summer
smew,Mergellus albellus,ミコアイサ,Smew,0.014885479166666667,0.0537201,46.0,winter
bkwsti,Himantopus himantopus,セイタカシギ,Black-winged Stilt,0.014831139583333335,0.0472235,48.0,resident
gyfbuz1,Butastur indicus,サシバ,Gray-faced Buzzard,0.014428741666666668,0.0400327,48.0,resident
comgol,Bucephala clangula,ホオジロガモ,Common Goldeneye,0.014278977083333333,0.0543617,43.0,winter
pelcor,Urile pelagicus,ヒメウ,Pelagic Cormorant,0.014122783333333338,0.0510887,48.0,resident
whbpig1,Treron sieboldii,アオバト,White-bellied Green-Pigeon,0.014085106250000005,0.0389561,48.0,resident
olbpip,Anthus hodgsoni,ビンズイ,Olive-backed Pipit,0.01382210625,0.033366,48.0,resident
chcsta1,Agropsar philippensis,コムクドリ,Chestnut-cheeked Starling,0.013492216666666666,0.0570587,35.0,summer
