ebird_species_code,species_num,scientific_name,japanese_name,ebird_sciname,ebird_common_name,order,family,ebird_common_name_freq,frequency_annual_mean,frequency_max,n_periods_detected,residence_status,xc_total,xc_japan,inat_total,inat_japan,inat_api_total,inat_api_japan,ml_total,ml_japan,recordings_total,recordings_japan,recordings_downloadable,priority_tier,priority_score,ml_available,ml_japan_available,recordings_with_ml
compoc,39,Aythya ferina,ホシハジロ,Aythya ferina,Common Pochard,ANSERIFORMES,ANATIDAE,Common Pochard,0.0694781958333333,0.1824804,48.0,winter,178.0,0.0,1.0,0.0,9.0,0.0,109.0,0.0,297.0,0.0,188.0,P3,0.008448222481679868,109.0,0.0,297.0
lottit1,467,Aegithalos caudatus,エナガ,Aegithalos caudatus,Long-tailed Tit,PASSERIFORMES,AEGITHALIDAE,Long-tailed Tit,0.1056356833333333,0.1724776,48.0,resident,2140.0,15.0,389.0,3.0,2901.0,38.0,2593.0,144.0,8023.0,200.0,5430.0,P3,0.008144437675840404,2593.0,144.0,8023.0
palthr1,526,Turdus pallidus,シロハラ,Turdus pallidus,Pale Thrush,PASSERIFORMES,TURDIDAE,Pale Thrush,0.0633446708333333,0.1771873,37.0,winter,182.0,5.0,1.0,0.0,6.0,3.0,173.0,68.0,362.0,76.0,189.0,P3,0.007445486581685275,173.0,68.0,362.0
combuz6,366,Buteo japonicus,ノスリ,Buteo japonicus,Eastern Buzzard,ACCIPITRIFORMES,ACCIPITRIDAE,Eastern Buzzard,0.0431228458333333,0.1027397,48.0,resident,17.0,3.0,0.0,0.0,2.0,2.0,38.0,15.0,57.0,20.0,19.0,P2,0.007330522262099743,38.0,15.0,57.0
comsan,188,Actitis hypoleucos,イソシギ,Actitis hypoleucos,Common Sandpiper,CHARADRIIFORMES,SCOLOPACIDAE,Common Sandpiper,0.08723135625,0.1598478,48.0,resident,2344.0,2.0,80.0,1.0,501.0,3.0,1298.0,11.0,4223.0,17.0,2925.0,P3,0.007242280690768219,1298.0,11.0,4223.0
slbgul,227,Larus schistisagus,オオセグロカモメ,Larus schistisagus,Slaty-backed Gull,CHARADRIIFORMES,LARIDAE,Slaty-backed Gull,0.0410551291666666,0.086808,48.0,resident,31.0,22.0,0.0,0.0,1.0,1.0,27.0,19.0,59.0,42.0,32.0,P2,0.00692243254588937,27.0,19.0,59.0
grywag,584,Motacilla cinerea,キセキレイ,Motacilla cinerea,Gray Wagtail,PASSERIFORMES,MOTACILLIDAE,Gray Wagtail,0.07836755,0.1356889,48.0,resident,1094.0,7.0,64.0,1.0,394.0,16.0,1370.0,31.0,2922.0,55.0,1552.0,P3,0.0068064446849992796,1370.0,31.0,2922.0
norsho,26,Spatula clypeata,ハシビロガモ,Spatula clypeata,Northern Shoveler,ANSERIFORMES,ANATIDAE,Northern Shoveler,0.0608121541666666,0.1459633,48.0,winter,322.0,0.0,6.0,0.0,27.0,0.0,504.0,0.0,859.0,0.0,355.0,P3,0.0062372275464311604,504.0,0.0,859.0
norpin,34,Anas acuta,オナガガモ,Anas acuta,Northern Pintail,ANSERIFORMES,ANATIDAE,Northern Pintail,0.0594276354166666,0.1399549,48.0,winter,303.0,1.0,6.0,0.0,34.0,0.0,522.0,6.0,865.0,7.0,343.0,P3,0.006088966830463108,522.0,6.0,865.0
falduc,28,Mareca falcata,ヨシガモ,Mareca falcata,Falcated Duck,ANSERIFORMES,ANATIDAE,Falcated Duck,0.0275400187499999,0.0703734,47.0,winter,16.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,21.0,2.0,16.0,P1,0.006088126794223308,5.0,2.0,21.0
gresca,44,Aythya marila,スズガモ,Aythya marila,Greater Scaup,ANSERIFORMES,ANATIDAE,Greater Scaup,0.0378584499999999,0.0730446,48.0,resident,27.0,0.0,0.0,0.0,2.0,0.0,52.0,1.0,81.0,1.0,29.0,P2,0.005938543660427387,52.0,1.0,81.0
grcgre1,119,Podiceps cristatus,カンムリカイツブリ,Podiceps cristatus,Great Crested Grebe,PODICIPEDIFORMES,PODICIPEDIDAE,Great Crested Grebe,0.0579243958333333,0.1355996,48.0,winter,445.0,0.0,48.0,0.0,192.0,0.0,391.0,2.0,1076.0,2.0,685.0,P3,0.005749809653507379,391.0,2.0,1076.0
integr1,336,Ardea intermedia,チュウサギ,Ardea intermedia,Medium Egret,PELECANIFORMES,ARDEIDAE,Medium Egret,0.0318446583333333,0.0912374,48.0,resident,13.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,50.0,0.0,13.0,P2,0.005586351212870613,37.0,0.0,50.0
azwmag2,429,Cyanopica cyanus,オナガ,Cyanopica cyanus,Azure-winged Magpie,PASSERIFORMES,CORVIDAE,Azure-winged Magpie,0.0482854812499999,0.0723585,48.0,resident,109.0,5.0,10.0,4.0,231.0,120.0,182.0,70.0,532.0,199.0,350.0,P3,0.005329113968070964,182.0,70.0,532.0
rinphe2,64,Phasianus versicolor,キジ,Phasianus versicolor,Green Pheasant,GALLIFORMES,PHASIANIDAE,Green Pheasant,0.0350995,0.1004665,48.0,resident,10.0,10.0,2.0,2.0,12.0,12.0,94.0,92.0,118.0,116.0,24.0,P3,0.005081809175074623,94.0,92.0,118.0
osprey,343,Pandion haliaetus,ミサゴ,Pandion haliaetus,Osprey,ACCIPITRIFORMES,PANDIONIDAE,Osprey,0.0588428124999999,0.0949503,48.0,resident,362.0,0.0,293.0,0.0,1404.0,3.0,4014.0,14.0,6073.0,17.0,2059.0,P3,0.004681706068916465,4014.0,14.0,6073.0
gadwal,27,Mareca strepera,オカヨシガモ,Mareca strepera,Gadwall,ANSERIFORMES,ANATIDAE,Gadwall,0.0506056854166666,0.1303698,48.0,winter,679.0,0.0,27.0,0.0,151.0,0.0,1315.0,1.0,2172.0,1.0,857.0,P3,0.004564772107203828,1315.0,1.0,2172.0
narfly2,550,Ficedula narcissina,キビタキ,Ficedula narcissina,Narcissus Flycatcher,PASSERIFORMES,MUSCICAPIDAE,Narcissus Flycatcher,0.0394408854166666,0.1851956,35.0,summer,92.0,64.0,4.0,4.0,55.0,53.0,318.0,276.0,469.0,397.0,151.0,P3,0.004441749607830583,318.0,276.0,469.0
japwoo1,399,Picus awokera,アオゲラ,Picus awokera,Japanese Woodpecker,PICIFORMES,PICIDAE,Japanese Woodpecker,0.0295078229166666,0.0531333,48.0,resident,19.0,19.0,0.0,0.0,8.0,8.0,81.0,81.0,108.0,108.0,27.0,P3,0.004351313624879176,81.0,81.0,108.0
skylar,450,Alauda arvensis,ヒバリ,Alauda arvensis,Eurasian Skylark,PASSERIFORMES,ALAUDIDAE,Eurasian Skylark,0.058493975,0.119705,48.0,resident,3844.0,14.0,478.0,3.0,3968.0,32.0,2844.0,98.0,11134.0,147.0,8290.0,P3,0.004351277309025611,2844.0,98.0,11134.0
melthr,26,Garrulax canorus,ガビチョウ,Garrulax canorus,Chinese Hwamei,PASSERIFORMES,LEIOTHRICHIDAE,Chinese Hwamei,0.0406959124999999,0.0736754,48.0,resident,138.0,3.0,69.0,27.0,341.0,170.0,524.0,84.0,1072.0,284.0,548.0,P3,0.004041792497206766,524.0,84.0,1072.0
bkhgul,213,Chroicocephalus ridibundus,ユリカモメ,Chroicocephalus ridibundus,Black-headed Gull,CHARADRIIFORMES,LARIDAE,Black-headed Gull,0.0476338979166666,0.1144938,48.0,winter,1617.0,2.0,158.0,1.0,655.0,6.0,1139.0,16.0,3569.0,25.0,2430.0,P3,0.0040360484824438995,1139.0,16.0,3569.0
spegui1,254,Cepphus carbo,ケイマフリ,Cepphus carbo,Spectacled Guillemot,CHARADRIIFORMES,ALCIDAE,Spectacled Guillemot,0.0038523791666666,0.0162447,47.0,resident,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P1,0.0038523791666666,0.0,0.0,0.0
ashmar1,462,Delichon dasypus,イワツバメ,Delichon dasypus,Asian House-Martin,PASSERIFORMES,HIRUNDINIDAE,Asian House-Martin,0.0297364374999999,0.0897235,48.0,summer,54.0,7.0,1.0,0.0,7.0,0.0,165.0,11.0,227.0,18.0,62.0,P3,0.0037932981848426677,165.0,11.0,227.0
zitcis1,497,Cisticola juncidis,セッカ,Cisticola juncidis,Zitting Cisticola,PASSERIFORMES,CISTICOLIDAE,Zitting Cisticola,0.0454060791666666,0.1157575,48.0,resident,1211.0,17.0,93.0,5.0,693.0,14.0,2356.0,56.0,4353.0,92.0,1997.0,P3,0.0037561517697065725,2356.0,56.0,4353.0
commoo3,100,Gallinula chloropus,バン,Gallinula chloropus,Eurasian Moorhen,GRUIFORMES,RALLIDAE,Eurasian Moorhen,0.0451080583333333,0.0649611,48.0,resident,2912.0,1.0,117.0,0.0,577.0,1.0,1968.0,19.0,5574.0,21.0,3606.0,P3,0.003624588551479998,1968.0,19.0,5574.0
lirplo,135,Charadrius dubius,コチドリ,Thinornis dubius,Little Ringed Plover,CHARADRIIFORMES,CHARADRIIDAE,Little Ringed Plover,0.0396682479166666,0.0923335,48.0,resident,1403.0,3.0,33.0,1.0,175.0,5.0,1118.0,34.0,2729.0,43.0,1611.0,P3,0.0034750333468098462,1118.0,34.0,2729.0
grswoo,394,Dendrocopos major,アカゲラ,Dendrocopos major,Great Spotted Woodpecker,PICIFORMES,PICIDAE,Great Spotted Woodpecker,0.0443528458333333,0.0627579,48.0,resident,3235.0,13.0,548.0,2.0,4130.0,18.0,2894.0,84.0,10807.0,117.0,7913.0,P3,0.003309927345702192,2894.0,84.0,10807.0
strshe,293,Calonectris leucomelas,オオミズナギドリ,Calonectris leucomelas,Streaked Shearwater,PROCELLARIIFORMES,PROCELLARIIDAE,Streaked Shearwater,0.0133885562499999,0.0329138,47.0,resident,3.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,16.0,9.0,3.0,P1,0.0032107426980986487,13.0,9.0,16.0
japgro1,600,Eophona personata,イカル,Eophona personata,Japanese Grosbeak,PASSERIFORMES,FRINGILLIDAE,Japanese Grosbeak,0.0234761,0.0389738,48.0,resident,47.0,31.0,1.0,1.0,12.0,12.0,126.0,112.0,186.0,156.0,60.0,P3,0.0031075284785070326,126.0,112.0,186.0
smew,56,Mergellus albellus,ミコアイサ,Mergellus albellus,Smew,ANSERIFORMES,ANATIDAE,Smew,0.0148854791666666,0.0537201,46.0,winter,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,0.0,27.0,P1,0.0030641287361141073,0.0,0.0,27.0
gyttat1,192,Tringa brevipes,キアシシギ,Tringa brevipes,Gray-tailed Tattler,CHARADRIIFORMES,SCOLOPACIDAE,Gray-tailed Tattler,0.0245324416666666,0.1111264,48.0,summer,70.0,15.0,3.0,3.0,9.0,4.0,199.0,21.0,281.0,43.0,82.0,P3,0.0030120897568977328,199.0,21.0,281.0
veggul1,226,Larus vegae,セグロカモメ,Larus vegae,Vega Gull,CHARADRIIFORMES,LARIDAE,Vega Gull,0.0205009416666666,0.0509399,47.0,winter,95.0,0.0,0.0,0.0,3.0,0.0,17.0,7.0,115.0,7.0,98.0,P3,0.002983967009528674,17.0,7.0,115.0
coatit2,440,Periparus ater,ヒガラ,Periparus ater,Coal Tit,PASSERIFORMES,PARIDAE,Coal Tit,0.0393377604166666,0.0764554,48.0,resident,3286.0,32.0,356.0,2.0,2843.0,16.0,3211.0,155.0,9696.0,205.0,6485.0,P3,0.002970351112441781,3211.0,155.0,9696.0
hawfin,598,Coccothraustes coccothraustes,シメ,Coccothraustes coccothraustes,Hawfinch,PASSERIFORMES,FRINGILLIDAE,Hawfinch,0.0360133687499999,0.0904189,48.0,winter,1748.0,4.0,137.0,1.0,1345.0,1.0,1238.0,27.0,4468.0,33.0,3230.0,P3,0.002969915320821036,1238.0,27.0,4468.0
stonec7,568,Saxicola stejnegeri,ノビタキ,Saxicola stejnegeri,Amur Stonechat,PASSERIFORMES,MUSCICAPIDAE,Amur Stonechat,0.0198726416666666,0.0661876,47.0,summer,59.0,11.0,0.0,0.0,3.0,2.0,45.0,13.0,107.0,26.0,62.0,P3,0.0029361850554094635,45.0,13.0,107.0
orrwar1,484,Acrocephalus orientalis,オオヨシキリ,Acrocephalus orientalis,Oriental Reed Warbler,PASSERIFORMES,ACROCEPHALIDAE,Oriental Reed Warbler,0.0294984666666666,0.1312815,40.0,summer,258.0,11.0,21.0,18.0,180.0,102.0,632.0,210.0,1091.0,341.0,459.0,P3,0.002922353838086501,632.0,210.0,1091.0
eurjay1,427,Garrulus glandarius,カケス,Garrulus glandarius,Eurasian Jay,PASSERIFORMES,CORVIDAE,Eurasian Jay,0.0370225270833333,0.0730881,48.0,resident,2449.0,12.0,449.0,3.0,2841.0,24.0,1858.0,82.0,7597.0,121.0,5739.0,P3,0.002871834738078247,1858.0,82.0,7597.0
bcnher,328,Nycticorax nycticorax,ゴイサギ,Nycticorax nycticorax,Black-crowned Night Heron,PELECANIFORMES,ARDEIDAE,Black-crowned Night Heron,0.0331261874999999,0.0590682,48.0,resident,1509.0,0.0,50.0,0.0,369.0,0.0,2642.0,8.0,4570.0,8.0,1928.0,P3,0.0027245045568087944,2642.0,8.0,4570.0
lobplo1,134,Charadrius placidus,イカルチドリ,Thinornis placidus,Long-billed Plover,CHARADRIIFORMES,CHARADRIIDAE,Long-billed Plover,0.01724380625,0.0374698,48.0,resident,20.0,1.0,0.0,0.0,1.0,1.0,64.0,47.0,85.0,49.0,21.0,P2,0.0026763863847495185,64.0,47.0,85.0
pelcor,313,Urile pelagicus,ヒメウ,Urile pelagicus,Pelagic Cormorant,SULIFORMES,PHALACROCORACIDAE,Pelagic Cormorant,0.0141227833333333,0.0510887,48.0,resident,6.0,1.0,0.0,0.0,0.0,0.0,31.0,0.0,37.0,1.0,6.0,P1,0.0026720356840455204,31.0,0.0,37.0
chcsta1,509,Agropsar philippensis,コムクドリ,Agropsar philippensis,Chestnut-cheeked Starling,PASSERIFORMES,STURNIDAE,Chestnut-cheeked Starling,0.0134922166666666,0.0570587,35.0,summer,5.0,0.0,1.0,1.0,1.0,1.0,29.0,27.0,36.0,29.0,7.0,P1,0.002570960942601373,29.0,27.0,36.0
brhthr1,527,Turdus chrysolaus,アカハラ,Turdus chrysolaus,Brown-headed Thrush,PASSERIFORMES,TURDIDAE,Brown-headed Thrush,0.0193196270833333,0.0614047,48.0,resident,45.0,23.0,1.0,1.0,5.0,3.0,133.0,56.0,184.0,83.0,51.0,P3,0.0025625706484479656,133.0,56.0,184.0
chbpar3,9,Bambusicola thoracicus,コジュケイ,Bambusicola thoracicus,Chinese Bamboo-Partridge,GALLIFORMES,PHASIANIDAE,Chinese Bamboo-Partridge,0.0236241083333333,0.0456883,48.0,resident,60.0,7.0,11.0,9.0,364.0,62.0,164.0,74.0,599.0,152.0,435.0,P3,0.00255915310345898,164.0,74.0,599.0
eurnut2,504,Sitta europaea,ゴジュウカラ,Sitta europaea,Eurasian Nuthatch,PASSERIFORMES,SITTIDAE,Eurasian Nuthatch,0.0339396166666666,0.0525391,48.0,resident,2420.0,14.0,733.0,0.0,5320.0,12.0,2533.0,71.0,11006.0,97.0,8473.0,P3,0.0025278524806968666,2533.0,71.0,11006.0
eurkes,402,Falco tinnunculus,チョウゲンボウ,Falco tinnunculus,Eurasian Kestrel,FALCONIFORMES,FALCONIDAE,Eurasian Kestrel,0.0282455437499999,0.0500376,48.0,resident,793.0,0.0,114.0,0.0,842.0,2.0,844.0,6.0,2593.0,8.0,1749.0,P3,0.0024904551312923506,844.0,6.0,2593.0
